title,developers,genres,platforms
Beany Bopper,Sirius Software,Multidirectional shooter,Atari 2600
Dungeons 4,Kalypso Media,"Construction and management simulation, Simulation video game, Strategy video game","Microsoft Windows, Nintendo Switch, PlayStation 5, Xbox Series X and Series S"
NBA Hotshot,Freeverse Inc.,Sports video game,IOS
Space Invaders (Atari 2600 video game),"Atari,  Inc.",Fixed shooter,Atari 2600
Splatoon 3: Side Order,Nintendo Entertainment Planning & Development,"Roguelike, Third-person shooter",Nintendo Switch
The New York Times Strands,The New York Times,Word game,Browser game
Tiebreak: Official Game of the ATP and WTA,Big Ant Studios,Sports video game,"Microsoft Windows, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Series S"
Exodus: Journey to the Promised Land,Color Dreams,"Christian video game, Puzzle","Game Boy, MS-DOS, Nintendo Entertainment System, Sega Genesis"
NFL Sports Talk Football '93 Starring Joe Montana,BlueSky Software,Sports video game,Sega Genesis
Star Wars: Starfighter (video game),"Lucasfilm Games, Sega Studios San Francisco",Action game,"Arcade video game, Microsoft Windows, PlayStation 2, PlayStation 3, Xbox (console)"
Stinger (1983 video game),Seibu Kaihatsu,Shoot 'em up,Arcade video game
Super Dodge Ball (1996 video game),"Mega Enterprise, Technōs Japan",Sports video game,"Arcade game, Microsoft Windows"
Forza Motorsport (2023 video game),Turn 10 Studios,Sim racing,"Microsoft Windows, Xbox Series X and Series S"
NHL 23,EA Vancouver,Sports video game,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Series S"
Evolution (1982 video game),Don Mattrick,Science fiction,"Apple II, Atari, ColecoVision, Commodore 64, IBM Personal Computer"
Metal Eden,Ruiner (video game),First-person shooter,"Microsoft Windows, PlayStation 5, Xbox Series X and Series S"
The Rugrats Movie: Activity Challenge,Broderbund,Educational game,"Classic Mac OS, Microsoft Windows"
Wappy Dog,MTO (video game company),Virtual pet,"Nintendo 3DS, Nintendo DS"
Bring me Sandwiches!!,Grumpyface Studios,Platformer,IOS
Chessmaster 4000 Turbo,The Software Toolworks,Strategy video game,"Classic Mac OS, Microsoft Windows"
Crab Champions,Noisestorm,"Roguelike, Third-person shooter",Microsoft Windows
Mighty Doom,Alpha Dog Games,"Roguelite, Shoot 'em up","Android (operating system), IOS"
Virtual Villagers,Last Day of Work,"God game, Life simulation game, Social simulation game","IOS, MacOS, Microsoft Windows, Nintendo DS, Palm OS"
Call of Duty: Black Ops: Declassified,NStigate Games,First-person shooter,PlayStation Vita
Fracture (video game),Wargaming Chicago-Baltimore,Third-person shooter,"PlayStation 3, Xbox 360"
Panzer Dragoon Saga,Sega Sports R&D,Role-playing video game,Sega Saturn
Star Wars: Rebel Assault II: The Hidden Empire,"Factor 5, Lucasfilm Games",Rail shooter,"DOS, Mac operating systems, Microsoft Windows, PlayStation (console)"
Crystal Kingdom Dizzy,Codemasters,"Adventure game, Platformer","Amiga, Amiga CD32, Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum"
Deus Ex: Human Revolution,Eidos-Montréal,"Action role-playing game, First-person shooter, Stealth game","MacOS, Microsoft Windows, PlayStation 3, Wii U, Xbox 360"
Europa Universalis III,Paradox Development Studio,List of grand strategy video games,"MacOS, Microsoft Windows"
"Pokémon Red, Blue, and Yellow",Game Freak,Role-playing video game,Game Boy
Shin Megami Tensei: Imagine,"Cave (company), GungHo Online Entertainment",Massively multiplayer online role-playing game,Microsoft Windows
The 7th Guest,Trilobyte,"Adventure game, Interactive film","Android (operating system), CD-i, IOS, Linux, MacOS, Mac operating systems, Microsoft Windows, Nintendo Switch, PlayStation 4, PlayStation 5"
Dissidia Final Fantasy,Square Enix,"Action role-playing game, Fighting game",PlayStation Portable
Shiren the Wanderer (2008 video game),Spike Chunsoft,"Roguelike, Role-playing video game","PlayStation Portable, Wii"
TMNT (Game Boy Advance video game),Ubisoft Montreal,Hack and slash,Game Boy Advance
Iron Front: Liberation 1944,"AWAR, X1 Software",Tactical shooter,Microsoft Windows
Kinect Adventures!,"Good Science Studio, Keywords Studios","Adventure game, Sports video game",Xbox 360
Legendary (video game),Spark Unlimited,First-person shooter,"Microsoft Windows, PlayStation 3, Xbox 360"
Stranglehold (video game),"John Woo, Midway Games",Third-person shooter,"Microsoft Windows, PlayStation 3, Xbox 360"
Wings (1990 video game),Cinemaware,"Combat flight simulation game, Shoot 'em up","Amiga, Game Boy Advance"
Daigasso! Band Brothers,"Nintendo Research & Development 2, Nintendo Software Planning & Development",Music video game,Nintendo DS
Jak 3,Naughty Dog,"Action-adventure game, Platformer",PlayStation 2
Paladins (video game),Hi-Rez Studios,"First-person shooter, Hero shooter","Microsoft Windows, Nintendo Switch, PlayStation 4, Xbox One"
R-Type Final,Irem,Shoot 'em up,PlayStation 2
Secret of Evermore,Square (video game company),Action role-playing game,Super Nintendo Entertainment System
Sleeping Dogs (video game),United Front Games,Action-adventure game,"MacOS, Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One"
Addiction Pinball,Team17,Pinball,"Microsoft Windows, PlayStation (console)"
Battlefield 2: Modern Combat,DICE (company),First-person shooter,"PlayStation 2, Xbox (console), Xbox 360"
F1 Race,"HAL Laboratory, Nintendo Research & Development 1",Racing game,"Game Boy, Nintendo Entertainment System"
Homeworld,Relic Entertainment,Real-time strategy,"MacOS, Microsoft Windows"
Progear,Cave (company),Shoot 'em up,"Arcade game, Au (mobile phone company), I-mode, Yahoo Mobile"
Wolfpack (video game),NovaLogic,Submarine simulator,"Amiga, Atari ST, MS-DOS, Mac (computer)"
NCAA Football 09,"EA Orlando, EA Vancouver",Sports video game,"PlayStation 2, PlayStation 3, PlayStation Portable, Wii, Xbox 360"
NHL 2K6,2K Los Angeles,Sports video game,"PlayStation 2, Xbox (console), Xbox 360"
Neo Geo Cup '98: The Road to the Victory,SNK,Sports video game,"Arcade game, Neo Geo (system), Neo Geo Pocket Color"
Newman/Haas IndyCar featuring Nigel Mansell,Gremlin Interactive,Racing game,"Sega Genesis, Super Nintendo Entertainment System"
Nibbler (video game),Rock-Ola,"List of maze video games, Snake (video game genre)","Apple II, Arcade video game, Atari 8-bit computers"
Night Striker,Taito,Shoot 'em up,"Arcade game, PlayStation (console), Sega CD, Sega Saturn"
Nightmare Circus,Funcom,Platformer,Sega Genesis
Ninja Golf,BlueSky Software,"Beat 'em up, Sports video game",Atari 7800
Ninja Master's,ADK Corporation,Fighting game,"Arcade game, Neo Geo (system), Neo Geo CD"
No Escape (video game),Bits Studios,"Action game, Platformer","Sega Genesis, Super Nintendo Entertainment System"
BattleTech: The Crescent Hawk's Inception,Westwood Studios,Role-playing video game,"Amiga, Apple II, Atari ST, Commodore 64, MS-DOS"
Battle Cross (1994 video game),A-Max,"Action game, Racing game",Super Nintendo Entertainment System
Battle Pingpong,Quest Corporation,Sports video game,Game Boy
Battle Tanks,Gameloft,Multidirectional shooter,PlayStation 3
Battleground 2: Gettysburg,TalonSoft,Computer wargame,Microsoft Windows
Battleground 5: Antietam,TalonSoft,Computer wargame,Microsoft Windows
Battleships (video game),Elite Systems,Turn-based strategy,"Amiga, Amstrad CPC, Atari ST, BBC Micro, Commodore 64, ZX Spectrum"
Bazooka Bill,Beam Software,Action game,"Commodore 64, ZX Spectrum"
Bejeweled Blitz,"PopCap Games, Torpex Games",Puzzle video game,"Android (operating system), Facebook, IOS, MacOS, Microsoft Windows, Xbox 360"
Chronicles of Mystery: The Tree of Life,CI Games,Adventure game,Microsoft Windows
Cool Cool Toon,SNK,Rhythm game,Dreamcast
Corvette Evolution GT,Milestone (Italian company),Racing game,"Microsoft Windows, Nintendo DS, PlayStation 2"
Cosmic Fantasy 2,Telenet Japan,Role-playing video game,TurboGrafx-16
Crimson Dragon,Yukio Futatsugi,Rail shooter,Xbox One
Crusader: No Regret,Origin Systems,Third-person shooter,MS-DOS
Cricket 2004,"Beam Software, EA Vancouver, HB Studios",Sports video game,"Java Platform,  Micro Edition, MS-DOS, Microsoft Windows, PlayStation 2, Xbox (console)"
Just Dance: Summer Party,List of Ubisoft subsidiaries,"Music video game, Rhythm game",Wii
Phantom Crash,Genki (company),Vehicular combat game,Xbox (console)
Pirates: The Key of Dreams,Oxygen Studios,Shoot 'em up,Wii
Pit Crew Panic!,Hudson Soft,Puzzle video game,WiiWare
Plan 9 from Outer Space (video game),Gremlin Interactive,Adventure game,"Amiga, Atari ST, DOS"
Pleiades (arcade game),Tecmo,Fixed shooter,Arcade video game
Plättchen Twist 'n' Paint,Bplus,Puzzle video game,Wii
Pocket Pool,HyperDevbox Japan,Sport,PlayStation Portable
Pocky & Rocky with Becky,Altron,Shoot 'em up,Game Boy Advance
Kao the Kangaroo (2000 video game),"Tate Multimedia, Titus Interactive",Platformer,"Dreamcast, Game Boy Advance, Microsoft Windows"
Little Nicky (video game),Digital Eclipse,Platformer,Game Boy Color
LocoMania,7FX,Simulation,Microsoft Windows
Lode Runner: The Legend Returns,Game Arts,Platformer,"MS-DOS, Mac operating systems, Microsoft Windows, PlayStation (console), Sega Saturn"
Looney Tunes B-Ball,List of Acclaim Entertainment subsidiaries,Sports video game,Super Nintendo Entertainment System
Magic: The Gathering – Duels of the Planeswalkers 2012,Stainless Games,Collectible card game,"Microsoft Windows, PlayStation 3, Xbox 360"
Magic: The Gathering – Duels of the Planeswalkers 2013,Stainless Games,Collectible card game,"IOS, Microsoft Windows, PlayStation 3, Xbox 360"
Mahjong Cub3d,Sun Corporation,Puzzle video game,Nintendo 3DS
Manchester United Championship Soccer,Krisalis Software,Sports video game,Super Nintendo Entertainment System
MapleStory Adventures,Nexon,"Fantasy, Massively multiplayer online role-playing game",Facebook
Blair Witch Volume II: The Legend of Coffin Rock,Human Head Studios,Survival horror,Microsoft Windows
Fighter Duel Pro 2,Jaeger Software,Simulation video game,Amiga
Hegemony III: Clash of the Ancients,Longbow Games,"List of grand strategy video games, Real-time strategy",Microsoft Windows
NBA ShootOut (video game),Team Soho,Sports video game,PlayStation (console)
Blue Reflection,Gust (company),Role-playing video game,"Microsoft Windows, PlayStation 4, PlayStation Vita"
Bravely Archive: D's Report,Square Enix,Role-playing video game,"Android (operating system), IOS"
Dissidia Final Fantasy Opera Omnia,"Square Enix, Team Ninja",Turn-based role-playing game,"Android (operating system), IOS"
Prey 2,Human Head Studios,First-person shooter,"Microsoft Windows, PlayStation 3, Xbox 360"
Axie Infinity,Sky Mavis,"Non-fungible token, Online game, Strategy game","Android (operating system), IOS, MacOS, Microsoft Windows"
NBA ShootOut 2001,989 Studios,Sports video game,"PlayStation (console), PlayStation 2"
NBA ShootOut 2003,989 Studios,Sports video game,"PlayStation (console), PlayStation 2"
Old World (video game),Mohawk Games,"4X, Turn-based strategy","Linux, MacOS, Microsoft Windows"
Reel Fishing: Wild,Westone Bit Entertainment,Sports video game,Dreamcast
Gotcha! Extreme Paintball,Sixteen Tons Entertainment,"First-person shooter, Sports video game","Microsoft Windows, Xbox (console)"
The Tale of Despereaux (video game),"Foundation 9 Entertainment, Sensory Sweep Studios",Action game,"Microsoft Windows, Nintendo DS, PlayStation 2, Wii"
Jetfighter: Full Burn,Take-Two Interactive,Combat flight simulation game,MS-DOS
Who Wants to Be a Millionaire (1999 video game),Jellyvision,"Party video game, Quiz",Microsoft Windows
Europa Universalis V,Paradox Development Studio,Grand strategy wargame,Microsoft Windows
MTV: Club Dead,Viacom (1952–2005),Adventure game,"DOS, Mac (computer)"
Woody Woodpecker Racing (Game Boy Color video game),Konami,Kart racing game,Game Boy Color
Carlos Sainz: World Rally Championship,Zigurat (company),Racing game,"Amstrad CPC, MS-DOS, MSX, ZX Spectrum"
Essays on Empathy,Deconstructeam,Adventure game,Microsoft Windows
Final Fantasy XIV: Endwalker,Square Enix,Massively multiplayer online role-playing game,"MacOS, Microsoft Windows, PlayStation 4, PlayStation 5, Xbox Series X and Series S"
Lost Judgment,Ryu Ga Gotoku Studio,Action-adventure game,"Microsoft Windows, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Series S"
Everybody 1-2-Switch!,"Nintendo Cube, Nintendo Entertainment Planning & Development",Party video game,Nintendo Switch
Moderator Mayhem,Techdirt,Casual game,Web browser
Retro Goal,New Star Games,Sports video game,"Android (operating system), IOS, Nintendo Switch"
Sonic Speed Simulator,Gamefam,"Incremental game, Massively multiplayer online game, Platformer","Android (operating system), IOS, MacOS, Microsoft Windows, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Series S"
The Seven Gates of Jambala,Thalion Software,Platformer,"Amiga, Amiga CD32, Atari ST"
Jeff Wayne's The War of the Worlds (1999 video game),Kheops Studio,"Strategy game, Third-person shooter, Vehicular combat game",PlayStation (console)
Jigsaw (video game),Graham Nelson,"Adventure game, Interactive fiction","Browser game, Z-machine"
Jimmie Johnson's Anything with an Engine,Luxoflux,Racing game,"PlayStation 3, Wii, Xbox 360"
Robot Tank,Activision,Shoot 'em up,Atari 2600
Rockman Battle & Fighters,Capcom,Fighting game,Neo Geo Pocket Color
Megamind: Ultimate Showdown,"THQ Studio Australia, Tantalus Media",Action game,"Nintendo DS, PlayStation 3, PlayStation Portable, Xbox 360"
Melbourne Cup Challenge,PikPok,Sports video game,"Microsoft Windows, PlayStation 2, Xbox (console)"
Metal Morph,Origin Systems,Shoot 'em up,Super Nintendo Entertainment System
Metal Slug 2nd Mission,Ukiyotei,Shoot 'em up,Neo Geo Pocket Color
Michael Schumacher Racing World Kart 2002,Radon Labs,Racing game,"Microsoft Windows, PlayStation (console)"
WTA Tour Tennis,"Konami, Now Production",Sports video game,"GameCube, Game Boy Advance, PlayStation 2, Xbox (console)"
Planet of the Apes (video game),"Torus Games, Visiware",Action-adventure game,"Game Boy Advance, Game Boy Color, Microsoft Windows, PlayStation (console)"
Ark of Time,Trecision,Adventure game,"MS-DOS, PlayStation"
Duet (video game),Kumobius,Action game,"Android (operating system), IOS, Linux, MacOS, Microsoft Windows"
Hill Climb Racing,Fingersoft,Racing game,"Android (operating system), IOS, Microsoft Windows, Windows Phone"
Assassin's Creed Odyssey – Legacy of the First Blade,Ubisoft,Action role-playing game,"Google Stadia, Microsoft Windows, Nintendo Switch, PlayStation 4, Xbox One"
Lara Croft and the Guardian of Light,Crystal Dynamics,Action-adventure game,"Android (operating system), BlackBerry PlayBook, Google Chrome, Google Stadia, IOS, Microsoft Windows, Nintendo Switch, PlayStation 3, Xbox 360"
UFC 2009 Undisputed,Yuke's,Sports video game,"PlayStation 3, Xbox 360"
Clockwork Knight,Sega,Platformer,Sega Saturn
Fire Emblem: Radiant Dawn,Intelligent Systems,Tactical role-playing game,Wii
Home Alone (video game),"Absolute Entertainment, Bethesda Softworks, List of Acclaim Entertainment subsidiaries, Manley & Associates",Action game,"Amiga, Game Boy, Game Gear, MS-DOS, Master System, Nintendo Entertainment System, Sega Genesis, Super Nintendo Entertainment System"
Marvel: Ultimate Alliance,Raven Software,Action role-playing game,"Game Boy Advance, Microsoft Windows, PlayStation 2, PlayStation 3, PlayStation 4, PlayStation Portable, Wii, Xbox (console), Xbox 360, Xbox One"
Metal Max 2,"Crea-Tech, Data East",Role-playing video game,"Game Boy Advance, Nintendo DS, Super Nintendo Entertainment System"
P.T.O. II,Koei,"Tactical wargame, Turn-based strategy","MS-DOS, Microsoft Windows, PC-98, PlayStation (console), Sega Saturn, Super Nintendo Entertainment System"
Roadwar Europa,"Strategic Simulations, Westwood Studios",Turn-based strategy,"Amiga, Apple II, Apple IIGS, Atari ST, Commodore 64, MS-DOS"
Splatterhouse 3,Now Production,Beat 'em up,Sega Genesis
Bubble Ghost,ERE Informatique,Action game,"Amiga, Amstrad CPC, Apple IIGS, Atari ST, Commodore 64, DOS, Game Boy, Microsoft Windows, SAM Coupé"
Bulls vs. Blazers and the NBA Playoffs,Electronic Arts,Sports video game,"Sega Genesis, Super Nintendo Entertainment System"
Canyon Bomber,"Atari,  Inc.",Action game,"Arcade video game, Atari 2600"
Cars Race-O-Rama,"Incinerator Studios, PlayStation 3, Tantalus Media, Xbox 360",Racing game,"Nintendo DS, PlayStation 2, PlayStation 3, PlayStation Portable, Wii, Xbox 360"
Champions World Class Soccer,Park Place Productions,Sports video game,"Sega Genesis, Super Nintendo Entertainment System"
Checkered Flag (1994 video game),Rebellion Developments,Racing game,Atari Jaguar
Chōkūkan Night: Pro Yakyū King,Genki (company),Sports video game,Nintendo 64
Critter Crunch,Capybara Games,Puzzle video game,"Binary Runtime Environment for Wireless, IOS, Java Platform,  Micro Edition, MacOS, Microsoft Windows, PlayStation 3"
Elemental Gearbolt,Alfa System,Light-gun shooter,PlayStation (console)
Flimbo's Quest,System 3 (company),Platformer,"Amiga, Amstrad CPC, Atari ST, Commodore 64"
Divi-Dead,C's Ware,Visual novel,Microsoft Windows
Down in the Dumps,Haiku Studios,Adventure game,"MS-DOS, Mac (computer), Microsoft Windows"
Dragon Ball Z: Budokai 3,Dimps,Versus fighting game,PlayStation 2
Drakan: The Ancients' Gates,Surreal Software,Action-adventure game,PlayStation 2
EcoQuest: The Search for Cetus,Sierra Entertainment,"Adventure game, Educational game",MS-DOS
Independence War 2: Edge of Chaos,Particle Systems,Space flight simulation game,Microsoft Windows
Star Gladiator,Capcom,Fighting game,"Arcade game, PlayStation (console)"
Teenage Mutant Ninja Turtles: The Hyperstone Heist,Konami,Beat 'em up,Sega Genesis
First Kiss Story,HuneX,Visual novel,"PC-FX, PlayStation (console), PlayStation 2"
Gauntlet Legends,"Atari Games, Midway Games","Dungeon crawl, Hack and slash","Arcade game, Dreamcast, Nintendo 64, PlayStation (console)"
Igor: Objective Uikokahonia,Pendulo Studios,Adventure game,DOS
Iron Man and X-O Manowar in Heavy Metal,"Foundation 9 Entertainment, Realtime Associates",Action game,"Game Boy, Game Gear, MS-DOS, PlayStation (console), Sega Saturn"
Seven Kingdoms (video game),Enlight Software,Real-time strategy,"Linux, Microsoft Windows"
Super Scribblenauts,5th Cell,"Action game, Emergent gameplay, Puzzle video game",Nintendo DS
Tales of the Tempest,"Dimps, Namco Tales Studio",Role-playing video game,Nintendo DS
TwinBee,Konami,Shoot 'em up,"Arcade video game, Famicom Disk System, Game Boy Advance, MSX, Mobile phone, Nintendo Entertainment System, X68000"
TwinBee RPG,Konami,Role-playing video game,PlayStation (console)
Two Worlds (video game),TopWare Interactive,Action role-playing game,"Linux, MacOS, Microsoft Windows, Xbox 360"
WWE Road to WrestleMania X8,Natsume Atari,List of video game genres,Game Boy Advance
Wario: Master of Disguise,Suzak Inc.,"Metroidvania, Platformer",Nintendo DS
Disney's Pocahontas (video game),"Funcom, Tiertex Design Studios",Platformer,"Game Boy, Sega Genesis"
Pools of Darkness,Strategic Simulations,"Role-playing game, Tactical role-playing game","Amiga, DOS, Mac (computer), PC-98"
Possession (video game),Volatile Games,Survival horror,"Microsoft Windows, PlayStation 3, Xbox 360"
Prehistoric Isle,SNK,Shoot 'em up,Arcade game
Project Eden (video game),Core Design,Action-adventure game,"Microsoft Windows, PlayStation 2"
Prop Cycle,Namco,Racing game,Arcade game
Rastan Saga II,Taito,Platformer,"Arcade video game, PlayStation 4, Sega Genesis, TurboGrafx-16, Virtual Console"
Ravenloft: Stone Prophet,DreamForge Intertainment,Role-playing video game,MS-DOS
Razor Freestyle Scooter,Shaba Games,Sports video game,"Dreamcast, Game Boy Advance, Game Boy Color, Nintendo 64, PlayStation (console)"
Redneck Deer Huntin',Gray Matter Studios,Sports video game,MS-DOS
DONKEY.BAS,Microsoft,Racing game,IBM PC DOS
E.X. Troopers,"Capcom, HexaDrive","Action game, Third-person shooter","Nintendo 3DS, PlayStation 3"
Mega Turrican,"Factor 5, Kaiko (company)",Shoot 'em up,"Amiga, Sega Genesis"
Top Hunter: Roddy & Cathy,SNK,"Action game, Beat 'em up, Platformer","Arcade game, Neo Geo (system), Neo Geo CD"
Toys (video game),Imagineering (company),Action game,"Sega Genesis, Super Nintendo Entertainment System"
Trax (video game),HAL Laboratory,Shooter game,Game Boy
Ucchannanchan no Honō no Challenger: Denryū Iraira Bō,Yuke's,Puzzle video game,Nintendo 64
